DATETIME,RECIPE,ANGLE,RESULT,MOVEMENT_HEAD1_X,MOVEMENT_HEAD2_X,MOVEMENT_HEAD3_X,MOVEMENT_HEAD4_X,MOVEMENT_Y,MOVEMENT_T,HEAD1_RESULT,HEAD1_PIXEL_X,HEAD1_PIXEL_Y,HEAD1_FILE,HEAD2_RESULT,HEAD2_PIXEL_X,HEAD2_PIXEL_Y,HEAD2_FILE,HEAD3_RESULT,HEAD3_PIXEL_X,HEAD3_PIXEL_Y,HEAD3_FILE,HEAD4_RESULT,HEAD4_PIXEL_X,HEAD4_PIXEL_Y,HEAD4_FILE
STRING,STRING,STRING,STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,BOOL,DOUBLE,DOUBLE,STRING,BOOL,DOUBLE,DOUBLE,STRING,BOOL,DOUBLE,DOUBLE,STRING,BOOL,DOUBLE,DOUBLE,STRING
2017.01.20 00:59:03 498,TFT_SIDE5.46,0,RETRY,-0.0037,0.0122,0.018,-0.004,0.0082,-0.0004,True,640.277255234911,481.600946581423,.\Image\Alignment\2017\01\20\00.59.03 498\Head1.jpg,True,635.542479152085,483.318714201577,.\Image\Alignment\2017\01\20\00.59.03 498\Head2.jpg,True,633.995687871536,483.956952595478,.\Image\Alignment\2017\01\20\00.59.03 498\Head3.jpg,True,640.340381564765,482.752665062651,.\Image\Alignment\2017\01\20\00.59.03 498\Head4.jpg
2017.01.20 00:59:05 147,TFT_SIDE5.46,0,RETRY,0.0016,0.0022,0.002,0.0018,0.0025,0.00011,True,639.760944451308,480.839191446136,.\Image\Alignment\2017\01\20\00.59.05 147\Head1.jpg,True,639.74582291014,481.462891820767,.\Image\Alignment\2017\01\20\00.59.05 147\Head2.jpg,True,639.791642204291,481.284126757307,.\Image\Alignment\2017\01\20\00.59.05 147\Head3.jpg,True,639.703451906399,480.516011208688,.\Image\Alignment\2017\01\20\00.59.05 147\Head4.jpg
2017.01.20 00:59:06 865,TFT_SIDE5.46,0,OK,-0.0023,-0.0008,-0.0011,-0.001,0,0,True,640.613257037771,479.904493958891,.\Image\Alignment\2017\01\20\00.59.06 865\Head1.jpg,True,640.212685065211,480.49914449895,.\Image\Alignment\2017\01\20\00.59.06 865\Head2.jpg,True,640.299760821342,480.881669250965,.\Image\Alignment\2017\01\20\00.59.06 865\Head3.jpg,True,640.257958731589,479.738934019171,.\Image\Alignment\2017\01\20\00.59.06 865\Head4.jpg
2017.01.20 00:59:27 901,TFT_SIDE5.46,90,RETRY,0.0005,0.0558,-0.0726,-0.0768,0.103,-0.02358,True,605.63403158184,468.048762401647,.\Image\Alignment\2017\01\20\00.59.27 901\Head1.jpg,True,608.392418152013,493.532381080525,.\Image\Alignment\2017\01\20\00.59.27 901\Head2.jpg,True,642.400391645352,508.91739416255,.\Image\Alignment\2017\01\20\00.59.27 901\Head3.jpg,True,626.123878159111,534.233951783475,.\Image\Alignment\2017\01\20\00.59.27 901\Head4.jpg
2017.01.20 00:59:29 782,TFT_SIDE5.46,90,RETRY,0.0066,-0.0592,-0.0595,0.0081,-0.0506,0.00136,True,640.201208473755,468.786462671411,.\Image\Alignment\2017\01\20\00.59.29 782\Head1.jpg,True,657.074453784171,468.073789218611,.\Image\Alignment\2017\01\20\00.59.29 782\Head2.jpg,True,657.177006860716,466.902152703654,.\Image\Alignment\2017\01\20\00.59.29 782\Head3.jpg,True,639.86672828919,465.005856618305,.\Image\Alignment\2017\01\20\00.59.29 782\Head4.jpg
2017.01.20 00:59:31 581,TFT_SIDE5.46,90,OK,0,0.0026,0.0019,-0.0009,0,0,True,640.00672659049,480.87389513568,.\Image\Alignment\2017\01\20\00.59.31 581\Head1.jpg,True,639.294335092649,481.787016907156,.\Image\Alignment\2017\01\20\00.59.31 581\Head2.jpg,True,639.480995672288,481.099063219555,.\Image\Alignment\2017\01\20\00.59.31 581\Head3.jpg,True,640.240938924597,480.916861480846,.\Image\Alignment\2017\01\20\00.59.31 581\Head4.jpg
2017.01.20 01:03:11 812,TFT_SIDE5.46,0,RETRY,-0.5411,-0.5556,-0.691,-0.6237,-0.024,0.00996,True,802.09454976235,487.942969763832,.\Image\Alignment\2017\01\20\01.03.11 812\Head1.jpg,True,802.922522167567,479.564025166769,.\Image\Alignment\2017\01\20\01.03.11 812\Head2.jpg,True,838.779168561545,471.896334107181,.\Image\Alignment\2017\01\20\01.03.11 812\Head3.jpg,True,823.617858612526,459.992767720139,.\Image\Alignment\2017\01\20\01.03.11 812\Head4.jpg
2017.01.20 01:03:13 571,TFT_SIDE5.46,0,RETRY,-0.0031,0.0015,0.0071,-0.0016,0.0075,-0.00025,True,640.378684869447,481.645933845253,.\Image\Alignment\2017\01\20\01.03.13 571\Head1.jpg,True,638.912147409336,482.657653260818,.\Image\Alignment\2017\01\20\01.03.13 571\Head2.jpg,True,637.413723220039,483.026013762821,.\Image\Alignment\2017\01\20\01.03.13 571\Head3.jpg,True,639.972277816757,482.359099635006,.\Image\Alignment\2017\01\20\01.03.13 571\Head4.jpg
2017.01.20 01:03:15 288,TFT_SIDE5.46,0,OK,-0.0012,-0.001,-0.0026,-0.002,0,0,True,640.31391575401,480.355096262939,.\Image\Alignment\2017\01\20\01.03.15 288\Head1.jpg,True,640.257782977536,481.235975684444,.\Image\Alignment\2017\01\20\01.03.15 288\Head2.jpg,True,640.683715825259,481.009800266126,.\Image\Alignment\2017\01\20\01.03.15 288\Head3.jpg,True,640.542377659507,480.144431071744,.\Image\Alignment\2017\01\20\01.03.15 288\Head4.jpg
2017.01.20 01:03:34 012,TFT_SIDE5.46,90,RETRY,0.0198,0.02,-0.1176,-0.0551,0.0935,-0.00209,True,631.711971044529,501.456011240653,.\Image\Alignment\2017\01\20\01.03.34 012\Head1.jpg,True,632.643472782373,504.737332508993,.\Image\Alignment\2017\01\20\01.03.34 012\Head2.jpg,True,669.068028056761,506.7136731403,.\Image\Alignment\2017\01\20\01.03.34 012\Head3.jpg,True,651.534379748653,507.279213307917,.\Image\Alignment\2017\01\20\01.03.34 012\Head4.jpg
